GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Rhyme - Code Coverage/io.wcm.caravan.rhyme.osgi-jaxrs,io.wcm.caravan.rhyme.caravan.impl,CaravanRhymeRequestCycleImpl,0,42,0,0,0,10,0,3,0,3
Rhyme - Code Coverage/io.wcm.caravan.rhyme.osgi-jaxrs,io.wcm.caravan.rhyme.caravan.impl,CaravanJsonPipelineResourceLoader,0,160,0,6,0,39,0,11,0,8
Rhyme - Code Coverage/io.wcm.caravan.rhyme.osgi-jaxrs,io.wcm.caravan.rhyme.caravan.impl,CaravanHalApiClientImpl.GuavaCacheLoader,0,23,0,0,0,6,0,2,0,2
Rhyme - Code Coverage/io.wcm.caravan.rhyme.osgi-jaxrs,io.wcm.caravan.rhyme.caravan.impl,CaravanHalApiClientImpl,0,83,0,2,0,14,0,7,0,6
Rhyme - Code Coverage/io.wcm.caravan.rhyme.osgi-jaxrs,io.wcm.caravan.rhyme.jaxrs.api,JaxRsLinkBuilder,0,6,0,0,0,1,0,1,0,1
Rhyme - Code Coverage/io.wcm.caravan.rhyme.spring,io.wcm.caravan.rhyme.spring.impl,SpringExceptionStatusAndLoggingStrategy,0,59,0,10,0,15,0,8,0,3
Rhyme - Code Coverage/io.wcm.caravan.rhyme.spring,io.wcm.caravan.rhyme.spring.impl,WebClientSupport,0,99,0,0,0,23,0,8,0,8
Rhyme - Code Coverage/io.wcm.caravan.rhyme.spring,io.wcm.caravan.rhyme.spring.impl,LinkableResourceStatusCodeAdvice,0,21,0,0,0,7,0,3,0,3
Rhyme - Code Coverage/io.wcm.caravan.rhyme.spring,io.wcm.caravan.rhyme.spring.impl,SpringRhymeAutoConfiguration,0,16,0,0,0,7,0,3,0,3
Rhyme - Code Coverage/io.wcm.caravan.rhyme.spring,io.wcm.caravan.rhyme.spring.impl,SpringRhymeDocsIntegration,0,19,0,0,0,6,0,5,0,5
Rhyme - Code Coverage/io.wcm.caravan.rhyme.spring,io.wcm.caravan.rhyme.spring.impl,VndErrorHandlingControllerAdvice,0,37,0,0,0,6,0,4,0,4
Rhyme - Code Coverage/io.wcm.caravan.rhyme.spring,io.wcm.caravan.rhyme.spring.impl,SpringRhymeLinkBuilder,0,91,0,8,0,20,0,11,0,7
Rhyme - Code Coverage/io.wcm.caravan.rhyme.spring,io.wcm.caravan.rhyme.spring.impl,SpringRhymeImpl,0,130,0,6,0,33,0,13,0,10
Rhyme - Code Coverage/io.wcm.caravan.rhyme.spring,io.wcm.caravan.rhyme.spring.impl,LinkableResourceMessageConverter,0,59,0,0,0,11,0,5,0,5
Rhyme - Code Coverage/io.wcm.caravan.rhyme.spring,io.wcm.caravan.rhyme.spring.impl,UrlFingerprintingImpl,0,86,0,10,0,24,0,11,0,6
Rhyme - Code Coverage/io.wcm.caravan.rhyme.testing,io.wcm.caravan.rhyme.testing.spring,MockMvcHalResourceLoaderConfiguration,0,14,0,0,0,5,0,2,0,2
Rhyme - Code Coverage/io.wcm.caravan.rhyme.testing,io.wcm.caravan.rhyme.testing.spring,MockMvcHalResourceLoaderConfiguration.MockMvcClient,0,57,0,0,0,14,0,4,0,4
Rhyme - Code Coverage/io.wcm.caravan.rhyme.testing,io.wcm.caravan.rhyme.testing.client,HalCrawler,0,172,0,14,0,47,0,20,0,13
Rhyme - Code Coverage/io.wcm.caravan.rhyme.testing,io.wcm.caravan.rhyme.testing.client,ApacheBlockingHttpSupport,0,90,0,4,0,24,0,6,0,4
Rhyme - Code Coverage/io.wcm.caravan.rhyme.testing,io.wcm.caravan.rhyme.testing.client,ApacheAsyncHttpSupport.new FutureCallback() {...},0,41,0,0,0,12,0,3,0,3
Rhyme - Code Coverage/io.wcm.caravan.rhyme.testing,io.wcm.caravan.rhyme.testing.client,AbstractHalResourceLoaderTest,5,704,0,6,0,231,1,50,1,47
Rhyme - Code Coverage/io.wcm.caravan.rhyme.testing,io.wcm.caravan.rhyme.testing.client,ApacheAsyncHttpSupport,0,44,0,2,0,13,0,4,0,3
Rhyme - Code Coverage/io.wcm.caravan.rhyme.examples.spring-hypermedia,io.wcm.caravan.rhyme.examples.spring.hypermedia,ManagerController.new ManagerController.ManagerResourceImpl() {...},0,54,0,0,0,5,0,3,0,3
Rhyme - Code Coverage/io.wcm.caravan.rhyme.examples.spring-hypermedia,io.wcm.caravan.rhyme.examples.spring.hypermedia,EmployeeController.new EmployeeCollectionResource() {...},0,46,0,0,0,7,0,6,0,6
Rhyme - Code Coverage/io.wcm.caravan.rhyme.examples.spring-hypermedia,io.wcm.caravan.rhyme.examples.spring.hypermedia,Employee,0,36,0,0,0,16,0,8,0,8
Rhyme - Code Coverage/io.wcm.caravan.rhyme.examples.spring-hypermedia,io.wcm.caravan.rhyme.examples.spring.hypermedia,Manager,0,37,0,0,0,14,0,7,0,7
Rhyme - Code Coverage/io.wcm.caravan.rhyme.examples.spring-hypermedia,io.wcm.caravan.rhyme.examples.spring.hypermedia,DatabaseLoader,0,98,0,0,0,13,0,3,0,3
Rhyme - Code Coverage/io.wcm.caravan.rhyme.examples.spring-hypermedia,io.wcm.caravan.rhyme.examples.spring.hypermedia,SpringRhymeHypermediaApplication,0,3,0,0,0,1,0,1,0,1
Rhyme - Code Coverage/io.wcm.caravan.rhyme.examples.spring-hypermedia,io.wcm.caravan.rhyme.examples.spring.hypermedia,DetailedEmployeeController.new DetailedEmployeeResource() {...},0,92,0,2,0,14,0,8,0,7
Rhyme - Code Coverage/io.wcm.caravan.rhyme.examples.spring-hypermedia,io.wcm.caravan.rhyme.examples.spring.hypermedia,CompanyApiController,0,42,0,0,0,10,0,8,0,8
Rhyme - Code Coverage/io.wcm.caravan.rhyme.examples.spring-hypermedia,io.wcm.caravan.rhyme.examples.spring.hypermedia,ManagerController,0,57,0,0,0,6,0,7,0,7
Rhyme - Code Coverage/io.wcm.caravan.rhyme.examples.spring-hypermedia,io.wcm.caravan.rhyme.examples.spring.hypermedia,StreamUtils,0,10,0,0,0,3,0,1,0,1
Rhyme - Code Coverage/io.wcm.caravan.rhyme.examples.spring-hypermedia,io.wcm.caravan.rhyme.examples.spring.hypermedia,RepositoryModificationListener,0,21,0,0,0,7,0,4,0,4
Rhyme - Code Coverage/io.wcm.caravan.rhyme.examples.spring-hypermedia,io.wcm.caravan.rhyme.examples.spring.hypermedia,EmployeeController,0,56,0,0,0,5,0,7,0,7
Rhyme - Code Coverage/io.wcm.caravan.rhyme.examples.spring-hypermedia,io.wcm.caravan.rhyme.examples.spring.hypermedia,EmployeeController.EmployeeResourceImpl,0,82,0,0,0,18,0,7,0,7
Rhyme - Code Coverage/io.wcm.caravan.rhyme.examples.spring-hypermedia,io.wcm.caravan.rhyme.examples.spring.hypermedia,ManagerController.new ManagerCollectionResource() {...},0,46,0,0,0,7,0,6,0,6
Rhyme - Code Coverage/io.wcm.caravan.rhyme.examples.spring-hypermedia,io.wcm.caravan.rhyme.examples.spring.hypermedia,DetailedEmployeeController,0,9,0,0,0,2,0,2,0,2
